Term/Uttrykk Kategori "Definisjon og Bruk (eksempel)" "Vanlig Feil / ""Falsk Venn"" (fra engelsk)"
Sjakkbrett "Brikker og brett" "Brettet med 64 felter (8x8) i vekslende lyse og mørke farger som sjakk spilles på. Eksempel: Sjakkbrettet skal plasseres med hvitt hjørnefelt nederst til høyre for hver spiller." "Unngå ""board""; bruk brett eller sjakkbrett."
Brett "Brikker og brett" "Spilleflaten i sjakk, bestående av et rutenett på 8x8 (totalt 64) vekselvis lyse og mørke felter. Eksempel: Brettet må plasseres med et hvitt felt i høyre hjørne for begge spillerne.⁸" "Unngå ""Board"" i norsk tale."
Felt "Brikker og brett" "Et enkelt kvadrat på sjakkbrettet. Hvert felt har en unik koordinat (f.eks. e4). Kalles også ""rute"". Eksempel: Det svake feltet på d5 ble et mål for hvits springer.¹" "Unngå ""Square"". ""Rute"" er et vanlig og akseptert synonym."
Rad "Brikker og brett" "En horisontal rekke av åtte felter på sjakkbrettet, nummerert fra 1 til 8. Eksempel: En bonde på syvende rad er en stor trussel.⁸" "Unngå ""Rank"". ""Row"" er også brukt på engelsk, men ""rank"" er mer formelt."
Linje "Brikker og brett" "En vertikal kolonne av åtte felter på sjakkbrettet, benevnt med bokstaver fra a til h. Eksempel: Tårnet dominerer den åpne c-linjen.⁸" "Unngå ""File"". Dette er en svært vanlig feil. Advarsel: Ordet ""line"" på engelsk kan bety en variant (trekksekvens), noe som er en alvorlig ""falsk venn""."
Diagonal "Brikker og brett" "En rett linje av felter med samme farge som går på skrå over brettet. Eksempel: Løperen kontrollerte den lange diagonalen fra a1 til h8.¹⁰" "Unngå ""Diagonal"" som et substantiv i seg selv; det er et adjektiv på norsk. Korrekt er ""en diagonal linje"" eller bare ""diagonalen""."
Sentrum "Brikker og brett" "De fire midterste feltene på brettet: d4, e4, d5 og e5. Kontroll over sentrum er et sentralt strategisk mål. Eksempel: Hvit spilte 1. e4 for å ta kontroll over sentrum." "Unngå ""Center""."
Fløy "Brikker og brett" "Sidene av sjakkbrettet. Man skiller mellom kongefløyen og dronningfløyen. Eksempel: Angrepet ble satt i gang på kongefløyen.¹" "Unngå ""Side"" eller ""Wing""."
Kongefløy "Brikker og brett" "Den siden av brettet der kongene starter (e- til h-linjen). Eksempel: Hvit valgte å rokere kort på kongefløyen." "Unngå ""Kingside""."
Dronningfløy "Brikker og brett" "Den siden av brettet der dronningene starter (a- til d-linjen). Eksempel: Svart ekspanderte med bøndene på dronningfløyen.¹" "Unngå ""Queenside""."
Løperpar "Brikker og brett" "Det å ha begge sine løpere igjen i partiet, mens motstanderen ikke har det. Regnes som en liten, men varig, strategisk fordel, spesielt i åpne stillinger. Eksempel: Ved å bytte springeren mot løperen, ga svart fra seg fordelen av løperparet.¹⁴" "Unngå ""Bishop pair""."
Fribonde "Brikker og brett" "En bonde som ikke har noen av motstanderens bønder foran seg på samme linje, eller på nabolinjene, som kan hindre den i å nå forvandlingsfeltet. Eksempel: Den fjerne fribonden avgjorde sluttspillet." "Unngå ""Passed pawn""."
Forvandlingsfelt "Brikker og brett" "Feltet der en bonde som når motsatt ende av brettet kan forvandles til en offiser. Det er på 8. rad for hvit (1. rad for svart). Eksempel: Bondens forvandlingsfelt for hvit er på 8. raden." "Unngå ""promotion square""."
Dobbeltbonde "Brikker og brett" "To bønder av samme farge som står på samme linje. Regnes ofte som en strukturell svakhet. Eksempel: Etter slaget på c3, fikk hvit en dobbeltbonde.³" "Unngå ""Doubled pawn(s)""."
"Isolert bonde" "Brikker og brett" "En bonde som ikke har noen bønder av samme farge på nabolinjene. Kan være en svakhet fordi den ikke kan forsvares av andre bønder. Eksempel: Den isolerte dronningbonden ble et konstant angrepsmål." "Unngå ""Isolated pawn""."
"Etterhengende bonde" "Brikker og brett" "En bonde som ikke kan forsvares av nabobønder fordi de har passert den. Regnes som en strukturell svakhet da den er sårbar for angrep og skaper et svakt felt foran seg." "Unngå ""Backward pawn""."
Randbonde "Brikker og brett" "En bonde på a-linjen eller h-linjen. Regnes som den minst verdifulle bonden, spesielt i sluttspill. Eksempel: Det er vanskeligere å vinne et sluttspill med en randbonde." "Unngå ""Rook pawn"" eller ""Edge pawn""."
Stilling "Brikker og brett" "Den totale konfigurasjonen av alle brikkene på brettet på et gitt tidspunkt." "Unngå 'Position'. 'Stilling' er det korrekte og etablerte norske faguttrykket. 'Posisjon' er en direkte og unødvendig oversettelse som har blitt vanligere i mediesammenheng."
"Grunnleggende handlinger"   
Trekk "Grunnleggende handlinger" "En enkelt forflytning av en brikke. Når både hvit og svart har gjort hvert sitt halvtrekk, utgjør det ett trekk. Eksempel: Det var hvits tur til å gjøre et trekk." "Unngå ""Move"" i norsk tale."
Slå "Grunnleggende handlinger" "Å flytte en brikke til et felt okkupert av en motstanderbrikke, som dermed fjernes fra brettet. Eksempel: Løperen kan slå springeren på f6.¹" "Unngå ""Capture"", ""Take"" eller ""å ta""."
Bytte "Grunnleggende handlinger" "En sekvens av slag der begge spillere fjerner brikker av (vanligvis) lik verdi fra brettet. Eksempel: Et bytte av dronninger ville forenkle stillingen." "Unngå ""Trade"" eller ""Exchange"". Merk: ""Exchange"" har en spesiell betydning på engelsk (å vinne et tårn for en lett offiser), som på norsk kalles å vinne en kvalitet."
Trussel "Grunnleggende handlinger" "En situasjon der en brikke står i posisjon til å kunne slå en annen brikke i neste trekk. Man kan også true med en plan (f.eks. true matt). Eksempel: Springeren på f5 utgjør en trussel mot feltet g7." "Unngå ""threat"" i norsk tale; bruk trussel eller verbet true."
Sjakk "Grunnleggende handlinger" "En direkte trussel mot motstanderens konge. Spilleren som er satt i sjakk, må umiddelbart parere trusselen. Notasjon: +. Eksempel: Tårnet flyttet til d8 og satte kongen i sjakk.³" "Unngå ""Check""."
Sjakkmatt "Grunnleggende handlinger" "En situasjon der en konge står i sjakk og ikke har noen lovlige trekk for å unnslippe trusselen. Partiet er da vunnet for den som setter matt. Ofte forkortet til ""matt"". Notasjon: #. Eksempel: Med Dg7 var det sjakkmatt, og partiet var over.³" "Unngå ""Checkmate"" eller bare ""Mate""."
Patt "Grunnleggende handlinger" "En stilling der spilleren i trekket ikke har noen lovlige trekk, men kongen ikke står i sjakk. En pattstilling resulterer i remis (uavgjort). Eksempel: Hvit hadde en stor materiell fordel, men satte motstanderen patt ved et uhell.¹⁹" "Unngå ""Stalemate"". Det er en vanlig feil å tro at patt er en seier. Patt er en form for remis.²¹"
Remis "Grunnleggende handlinger" "Resultatet av et parti som ender uavgjort. Spillerne får et halvt poeng hver. Kan oppstå ved patt, avtale, tre-gangers stillingsgjentakelse, 50-trekksregelen, eller utilstrekkelig materiell til å sette matt. Eksempel: Spillerne ble enige om remis etter et langt sluttspill." "Unngå ""Draw""."
"Gi opp (oppgitt parti)" "Grunnleggende handlinger" "Å resignere - en spiller avslutter partiet frivillig ved å erkjenne tap (f.eks. ved å legge ned kongen). Eksempel: Etter at han mistet dronningen valgte han å gi opp partiet." "Unngå ""resignere"" (falsk venn). Bruk gi opp."
"Evig sjakk" "Grunnleggende handlinger" "En form for remis ved trekkgjentakelse der en spiller tvinger frem en uendelig sjekksekvens, ofte for å redde en dårligere stilling." "Unngå ""Perpetual check""."
Femtitrekksregelen "Grunnleggende handlinger" "En regel som tillater en spiller å kreve remis hvis de siste 50 trekkene fra hver spiller er gjort uten at en brikke er slått eller en bonde er flyttet." "Unngå ""Fifty-move rule""."
"Død stilling" "Grunnleggende handlinger" "En stilling der ingen av spillerne kan sette motstanderens konge sjakkmatt med noen lovlig sekvens av trekk. Partiet er da umiddelbart remis." "Unngå ""Dead position""."
Spesialtrekk   
Rokade Spesialtrekk "Et spesialtrekk der kongen og et tårn flyttes samtidig. Kongen flytter to felt mot tårnet, og tårnet plasseres på feltet kongen krysset. Målet er å sikre kongen og aktivere tårnet. Regnes som et kongetrekk; kongen må flyttes først. Eksempel: Hvit spilte kort rokade for å sikre kongen.³" "Unngå ""Castle"" eller ""Castling""."
"Kort rokade" Spesialtrekk "Rokade utført på kongefløyen (med h-tårnet). Kongen flytter til g1 (for hvit) eller g8 (for svart). Notasjon: 0-0. Eksempel: Kort rokade er den vanligste formen for rokade.²²" "Unngå ""Short castle"" eller ""Kingside castling""."
"Lang rokade" Spesialtrekk "Rokade utført på dronningfløyen (med a-tårnet). Kongen flytter til c1 (for hvit) eller c8 (for svart). Notasjon: 0-0-0. Eksempel: Lang rokade fører ofte til skarpere stillinger med angrep på motsatte fløyer.²²" "Unngå ""Long castle"" eller ""Queenside castling""."
"En passant" Spesialtrekk "Et spesielt bondeslag. Hvis en bonde flytter to felt frem fra startposisjonen og lander ved siden av en motstanderbonde, kan motstanderbonden slå den som om den bare hadde flyttet ett felt. Slaget må utføres umiddelbart i neste trekk. Fra fransk: ""i forbifarten"". Eksempel: Etter d2-d4, spilte svart cxd3 en passant.³" """En passant"" er den internasjonalt anerkjente termen og brukes direkte på norsk. Unngå ""in passing""."
Forvandling Spesialtrekk "Handlingen der en bonde når den motsatte enden av brettet (første eller åttende rad) og umiddelbart byttes ut med en dronning, et tårn, en løper eller en springer av samme farge. Eksempel: Bonden nådde c8 og ble forvandlet til en dronning.⁴" "Unngå ""Promotion"", ""Queening"" eller ""promotere bonden""."
Taktikk   
Taktikk Taktikk "En sekvens av trekk, ofte tvungen, som utnytter en kortsiktig mulighet for å oppnå en fordel, som materiell gevinst eller sjakkmatt. Taktikk handler om konkrete varianter. Eksempel: Partiet ble avgjort av en smart taktisk kombinasjon.¹⁴" "Unngå ""Tactic(s)""."
Avdekker Taktikk "Et angrep som skapes når en brikke flyttes unna og dermed ""avdekker"" et angrep fra en annen brikke (løper, tårn eller dronning) som sto bak den. Eksempel: Ved å flytte springeren, skapte hvit en avdekker mot svarts dronning.¹" "Unngå ""Discovered attack""."
Avdekkersjakk Taktikk "En avdekker der angrepet fra den bakerste brikken er en sjakk. Dette er spesielt kraftig fordi motstanderen må forholde seg til sjakken, noe som gir den fremste brikken frihet til å flytte til et sterkt felt. Eksempel: Sf6+ var en avdekkersjakk som vant materiell.¹³" "Unngå ""Discovered check""."
Avledning Taktikk "En taktikk som har til hensikt å lokke en av motstanderens brikker (spesielt en viktig forsvarsbrikke) bort fra feltet den beskytter. Eksempel: Offeret på a7 var en avledning for å fjerne forsvaret av f7-feltet." "Unngå ""Deflection""."
Binding Taktikk "En situasjon der en brikke er angrepet, men ikke kan (eller bør) flytte fordi en mer verdifull brikke står bak den på samme linje, rad eller diagonal. Målet er å utnytte den angrepne brikkens immobilitet. Eksempel: Løperen på g5 skapte en ubehagelig binding på springeren på f6.³" "Unngå ""Pin""."
"Absolutt binding" Taktikk "En binding der brikken bak den bundne brikken er kongen. Det er da et ulovlig trekk å flytte den bundne brikken. Eksempel: Tårnet på e1 er i en absolutt binding, da det ikke kan flytte uten å sette kongen i sjakk.²⁵" "Unngå ""Absolute pin""."
"Relativ binding" Taktikk "En binding der brikken bak den bundne brikken er en annen offiser enn kongen (f.eks. en dronning eller et tårn). Det er lovlig å flytte den bundne brikken, men det vil føre til tap av den mer verdifulle brikken bak. Eksempel: Springeren var i en relativ binding mot dronningen.²⁵" "Unngå ""Relative pin""."
Dobbeltsjakk Taktikk "En avdekkersjakk der både brikken som flyttes og den avdekkede brikken sjakker kongen samtidig. Dette er den eneste sjakken som ikke kan blokkeres eller pareres ved å slå den angripende brikken; kongen må flytte. Eksempel: Dobbeltsjakken tvang frem sjakkmatt i neste trekk.³⁰" "Unngå ""Double check""."
Gaffel Taktikk "Et dobbeltangrep der én brikke angriper to eller flere av motstanderens brikker samtidig. Utføres oftest av en springer eller en bonde. Eksempel: Springeren på e7 satte en gaffel på kongen og dronningen.³" "Unngå ""Fork""."
Kombinasjon Taktikk "En lengre, ofte tvungen, sekvens av trekk som involverer flere taktiske motiver (som offer, gafler, bindinger) for å oppnå et bestemt mål. Eksempel: Han fant en vakker kombinasjon som førte til matt." "Unngå ""Combination"" i den grad det kan forveksles med dagligtale. I sjakk er det en presis term."
Kvelermatt Taktikk "En sjakkmatt der kongen blir satt matt av en springer, mens alle fluktfeltene er blokkert av kongens egne brikker." "Unngå ""Smothered mate""."
Mellomtrekk Taktikk "Et uventet, ofte tvingende, trekk som settes inn i en ellers forventet sekvens av trekk (f.eks. et bytte). Fra tysk ""Zwischenzug"". Eksempel: I stedet for å slå tilbake tårnet umiddelbart, spilte han et mellomtrekk som satte motstanderen i sjakk.³³" "Unngå ""In-between move"" eller ""Intermediate move"". ""Zwischenzug"" er også vanlig i internasjonal sjargong."
Mølle Taktikk "En taktisk kombinasjon, vanligvis utført av et tårn og en løper, der man leverer en serie med sjakker og avdekkersjakker for å vinne betydelig materiell." "Unngå ""Windmill""."
Offer Taktikk "Et bevisst trekk der en spiller gir bort materiell for å oppnå en annen type fordel, som et angrep, posisjonell kompensasjon eller for å tvinge frem matt. Eksempel: Han spilte et dristig dronningoffer for å åpne linjer mot kongen.¹" "Unngå ""Sacrifice""."
Overbelastning Taktikk "En taktikk som utnytter at en av motstanderens brikker har for mange defensive oppgaver. Ved å angripe ett av punktene brikken forsvarer, tvinges den til å oppgi forsvaret av et annet." "Unngå ""Overloading""."
Spidding Taktikk "Et angrep på to brikker som står på linje, der den mest verdifulle brikken står foran en mindre verdifull brikke. Den verdifulle brikken tvinges til å flytte, og avslører dermed den mindre verdifulle brikken bak. Motsatsen til en binding. Eksempel: Tårnsjakken på e1 var en spidding som vant dronningen på e8.¹³" "Unngå ""Skewer""."
Svindel Taktikk "Et lurendreieri - et risikabelt taktisk forsøk på å redde en dårlig stilling ved hjelp av en felle eller uventet knep. Eksempel: I tidsnød forsøkte han en siste svindel som lurte motstanderen til patt." """Swindle"" (eng.) kan høres, men norsk svindel brukes i sjakkmiljøet."
Strategi   
Strategi Strategi "Den langsiktige planleggingen i et sjakkparti, basert på posisjonelle faktorer som bondestruktur, kontroll over nøkkelfelter og brikkeplassering. Strategi handler om å skape forutsetninger for taktikk og veie midlertidige fordeler (initiativ) mot permanente fordeler (bedre bondestruktur). Eksempel: Hans strategi var å skape en svakhet på dronningfløyen.¹⁴" "Unngå ""Strategy""."
Midtspill Strategi "Fasen i partiet etter åpningen og før sluttspillet. I midtspillet står de fleste brikker på brettet, og begge parter manøvrerer for å oppnå fordeler. Eksempel: I midtspillet ofret hvit en bonde for å åpne linjer mot kongen." "Unngå ""middlegame""; bruk midtspill."
Sentrumskontroll Strategi "Prinsippet om å kontrollere de fire sentrale feltene (d4, e4, d5, e5) med bønder og brikker. Kontroll over sentrum gir økt mobilitet for egne brikker og begrenser motstanderens. Eksempel: Begge spillerne kjempet om sentrumskontroll i åpningen.¹²" "Unngå ""Center control""."
Utvikling Strategi "Prosessen med å flytte brikkene (spesielt lette offiserer) fra sine startfelter til mer aktive posisjoner i åpningsfasen. Målet er å gjøre brikkene klare til kamp. Eksempel: Hvit har et forsprang i utvikling og kan starte et angrep.³⁶" "Unngå ""Development""."
Romfordel Strategi "Å kontrollere en større del av sjakkbrettet enn motstanderen, vanligvis ved å ha bønder som er rykket lenger frem. Dette gir egne brikker mer plass å manøvrere på, mens motstanderens brikker blir trengt sammen. Eksempel: Med bønder på e4 og d4, oppnådde hvit en klar romfordel.³⁸" "Unngå ""Space advantage""."
"Åpen linje" Strategi "En linje der det ikke står noen bønder av noen farge. Åpne linjer er ideelle for tårn og dronninger, som kan bruke dem til å trenge inn i motstanderens stilling. Eksempel: Begge tårnene ble plassert på den åpne e-linjen for å doble trykket.¹³" "Unngå ""Open file""."
"Halvåpen linje" Strategi "En linje der kun motstanderen har bonde(r), men ikke du selv. Tårn opererer godt på halvåpne linjer ved å presse mot motstanderens bonde. Eksempel: Hvit fikk en halvåpen c-linje for tårnet sitt." """Half-open file"" oversettes med halvåpen linje."
Bondestruktur Strategi "Den overordnede konfigurasjonen av alle bøndene på brettet. Bondestrukturen er relativt statisk og definerer de langsiktige strategiske planene for begge sider, inkludert svake og sterke felter. Eksempel: Åpningen førte til en bondestruktur kjent som Carlsbad-strukturen.¹³" "Unngå ""Pawn structure""."
Bondeøy Strategi "En gruppe bønder av samme farge adskilt fra øvrige bønder av minst én tom linje. Flere bondeøyer indikerer svakheter i bondestrukturen." "Unngå direkte overs. av ""pawn island""; korrekt term er bondeøy."
"Svakt felt" Strategi "Et felt som ikke lenger kan forsvares av en bonde. Slike felter kan bli permanente utposter for motstanderens brikker, spesielt springere. Kalles også ""hull"". Eksempel: Etter trekket g6 ble f6-feltet et permanent svakt felt.¹³" "Unngå ""Weak square"" eller ""Hole""."
Profylakse Strategi "Kunsten å forutse og forhindre motstanderens planer, trusler og ideer. Et profylaktisk trekk forbedrer ikke nødvendigvis egen stilling direkte, men stopper motstanderens intensjoner. Eksempel: Trekket a4 var ren profylakse for å stoppe svarts ekspansjon med...b5.¹⁴" "Unngå ""Prophylaxis""."
Kvalitet Strategi "Forskjellen i verdi mellom et tårn (5 poeng) og en lett offiser (løper eller springer, 3 poeng). Å ""vinne en kvalitet"" betyr å bytte en lett offiser mot et tårn. Tårnet regnes ca. to bønder mer verdt enn en lett offiser. Eksempel: Han ofret en kvalitet for å ødelegge motstanderens kongestilling.¹" "Unngå ""The exchange"". Dette er en ""falsk venn"" der det norske ordet kvalitet er det internasjonalt mest utbredte, mens engelsk bruker et eget ord."
Åpningsteori   
Åpning Åpningsteori "Den første fasen av et sjakkparti, vanligvis de første 10-15 trekkene. Målene er å kontrollere sentrum, utvikle brikker og sikre kongen. Eksempel: Spansk er en av de mest studerte åpningene i sjakk.³⁷" "Unngå ""Opening""."
Variant Åpningsteori "En spesifikk sekvens av trekk innenfor en navngitt åpning. Eksempel: Han valgte Najdorf-varianten i Siciliansk forsvar." "Unngå ""Line"" eller ""Variation"". Advarsel: Den vanligste og mest alvorlige ""falske venn"" i norsk sjakk. ""Line"" (trekksekvens) oversettes til variant. Linje betyr kun en vertikal kolonne på brettet."
Hovedvariant Åpningsteori "Den mest vanlige eller teoretisk beste sekvensen av trekk i en gitt åpning eller stilling. Eksempel: I Siciliansk forsvar regnes 5.Le2 som hovedvarianten i Najdorf-oppstillingen." """Main line"" (eng.) kalles hovedvariant på norsk."
Sidevariant Åpningsteori "En alternativ trekksekvens i en åpning som avviker fra hovedvarianten. Også kalt avvik. Eksempel: 6.g3 er en sidevariant som hvit kan prøve i stedet for hovedtrekket 6.Le2." """Sideline"" (eng.) oversettes med sidevariant."
Gambit Åpningsteori "En åpning som innebærer et bevisst offer av materiell (vanligvis en bonde) for å oppnå en annen fordel, som raskere utvikling, initiativ eller angrepsmuligheter. Det er en investering av materiell for å få tempo. Eksempel: I Kongegambit ofrer hvit en bonde for et raskt angrep.³" "Unngå ""Gambit"" som et generelt ord for offer. Det er spesifikt knyttet til åpningen."
"Åpent spill" Åpningsteori "En type stilling som typisk oppstår etter åpningstrekkene 1.e4 e5, karakterisert av få bønder i sentrum og mange åpne linjer og diagonaler. Dette favoriserer brikker med lang rekkevidde som løpere og tårn. Eksempel: Italiensk åpning fører ofte til et åpent spill.¹³" "Unngå ""Open game""."
"Lukket spill" Åpningsteori "En type stilling som typisk oppstår etter åpningstrekkene 1.d4 d5, karakterisert av fastlåste bondestrukturer i sentrum. Dette begrenser de langtrekkende brikkene og favoriserer manøvrering med springere. Eksempel: Partiet utviklet seg til et lukket spill der strategisk forståelse var avgjørende.¹⁸" "Unngå ""Closed game""."
"Semi-åpent spill" Åpningsteori "En type stilling som oppstår etter 1.e4 fulgt av et annet svar enn 1...e5 (f.eks. Siciliansk eller Fransk forsvar). Karakteriseres av en viss asymmetri i bondestrukturen i sentrum." "Unngå ""Semi-open game""."
"Semi-lukket spill" Åpningsteori "En type stilling som oppstår etter 1.d4 fulgt av et annet svar enn 1...d5 (f.eks. Kongeindisk eller Nimzoindisk forsvar). Karakteriseres av komplekse bondestrukturer og strategisk manøvrering." "Unngå ""Semi-closed game""."
Fianchetto Åpningsteori "Et italiensk låneord for å utvikle en løper til b2/g2 (for hvit) eller b7/g7 (for svart), hvor den kontrollerer en lang diagonal." """Fianchetto"" er den internasjonalt anerkjente termen og brukes direkte på norsk."
Transponering Åpningsteori "Når en stilling som er karakteristisk for én åpning oppnås via en trekkrekkefølge som tilhører en annen åpning." "Unngå ""Transposition""."
Trekkomkasting Åpningsteori "Å endre på den vanlige rekkefølgen av trekk for å overraske motstanderen eller unngå bestemte varianter. Eksempel: Hvit spilte 2.Sc3 før d4 som en trekkomkasting." """Move order twist"" kan kalles trekkomkasting."
"Navngitte åpninger"   
Spansk Åpningsteori "En åpning som starter med 1.e4 e5 2.Sf3 Sc6 3.Lb5. Hvit legger press på svarts sentrum ved å true springeren som forsvarer e5-bonden." "Unngå ""Ruy Lopez""."
"Siciliansk forsvar" Åpningsteori "Et forsvar mot 1.e4 som starter med 1...c5. Svart kjemper om sentrumskontroll ved å bruke en flankebonde, noe som fører til asymmetriske og ofte skarpe stillinger." "Unngå ""Sicilian Defense""."
Dronninggambit Åpningsteori "En åpning som starter med 1.d4 d5 2.c4. Hvit ofrer midlertidig en flankebonde for å avlede svarts sentrumsbonde og oppnå kontroll over sentrum." "Unngå ""Queen's Gambit""."
"Kongeindisk forsvar" Åpningsteori "Et hypermoderne forsvar mot 1.d4, karakterisert ved trekk som...Sf6,...g6,...Lg7 og...d6. Svart tillater hvit å bygge et stort sentrum, for så å angripe det senere." "Unngå ""King's Indian Defense""."
Sluttspill   
Sluttspill Sluttspill "Den tredje og siste fasen av et sjakkparti, der det er få brikker igjen på brettet. Kongen blir en aktiv og viktig angreps- og forsvarsbrikke i denne fasen. Eksempel: Kunnskap om sluttspill er avgjørende for å vinne jevne partier.⁴⁸" "Unngå ""Endgame"" eller ""Ending""."
Bondesluttspill Sluttspill "Et sluttspill der det, i tillegg til kongene, kun er bønder igjen på brettet. Presis regning og kunnskap om konsepter som opposisjon og trekktvang er kritisk. Eksempel: Han vant bondesluttspillet ved å skape en fribonde.⁴⁸" "Unngå ""Pawn endgame""."
Opposisjon Sluttspill "En situasjon i sluttspillet der kongene står rett overfor hverandre med et oddetall (vanligvis ett) felt mellom seg. Spilleren som ikke er i trekket, sies å ""ha opposisjonen"", noe som ofte tvinger motstanderens konge til å vike. Eksempel: Ved å ta opposisjonen, kunne hvit tvinge seg forbi og vinne partiet.¹⁸" "Unngå ""Opposition""."
Trekktvang Sluttspill "En situasjon der spilleren som er i trekket, er tvunget til å gjøre et trekk som forverrer sin egen stilling. Fra tysk ""Zugzwang"". Dette er ofte målet man prøver å oppnå ved å ta opposisjonen. Eksempel: Svart var i trekktvang og måtte gi opp forsvaret av den viktige bonden.⁵⁰" "Unngå ""Compulsion to move"". ""Zugzwang"" er den internasjonalt anerkjente termen og brukes ofte også på norsk."
Turneringssjargong   
Parti Turneringssjargong "Et enkelt, komplett sjakkspill fra første trekk til det er avgjort. Eksempel: De spilte et langt og komplisert parti.¹" "Unngå ""Game""."
Tidskontroll Turneringssjargong "Den tildelte tiden hver spiller har til å tenke for hele partiet eller per trekk. Eksempel: Tidskontrollen for turneringen var 90 minutter for 40 trekk.¹⁰" "Unngå ""Time control""."
Tidsnød Turneringssjargong "Når en spiller har kritisk lite tid igjen på klokken (f.eks. under 2 minutter). I tidsnød skjer det ofte flere feil på grunn av tidspress. Eksempel: Begge spilte fort på slutten på grunn av tidsnød." """Time trouble"" = tidsnød."
Rating Turneringssjargong "Et numerisk system (vanligvis ELO-rating) som måler en spillers relative spillestyrke basert på resultater mot andre ratede spillere. Eksempel: Hans rating økte etter den sterke turneringsseieren.¹⁶" "Unngå ""Rating"" i den grad det kan forveksles med dagligtale. ""ELO"" eller ""ELO-rating"" er mer presist."
"Stormester (GM), Internasjonal mester (IM), FIDE-mester (FM)" Turneringssjargong "De høyeste internasjonale sjakktitlene tildelt av FIDE basert på rating og normer. Eksempel: Magnus Carlsen ble stormester som 13-åring." "Unngå kun ""Grandmaster"" etc. på norsk; bruk de fulle norske titlene."
Langsjakk Turneringssjargong "Sjakk med klassisk, lang betenkningstid (over 60 min per spiller). Også kalt klassisk sjakk. Eksempel: Landsturneringen spilles i langsjakk med 90 minutter + 30 sekunder tillegg per trekk." """Classical chess"" oversettes til langsjakk (eller klassisk)."
Hurtigsjakk Turneringssjargong "Et sjakkparti med redusert tidskontroll, vanligvis mellom 10 og 60 minutter per spiller for hele partiet. Eksempel: Verdensmesterskapet i hurtigsjakk er en årlig begivenhet.¹³" "Unngå ""Rapid chess""."
Lynsjakk Turneringssjargong "Et sjakkparti med svært kort tidskontroll, vanligvis under 10 minutter per spiller (ofte 3-5 minutter). Eksempel: Han er kjent som en farlig lynsjakkspiller.¹³" "Unngå ""Blitz chess""."
Armageddon Turneringssjargong "Et spesielt parti for å avgjøre en uavgjort match. Hvit får mer tid (f.eks. 5 min) enn svart (f.eks. 4 min), men svart vinner partiet hvis det ender remis. Hvit må vinne. Eksempel: Matchen ble avgjort i et spennende Armageddon-parti.¹³" """Armageddon"" er den internasjonale termen."
